Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
101 ,TiK ToK,Kesha,https://www.youtube.com/watch?v=OF04pKp-r9o,9b4ebd0f536f353094f8110e8efc182dcb89a6ba4a108f2665ac40f1c5667cfc,Kesha - TiK ToK (Lyrics),2010 
102 ,Livin' On A Prayer,Bon Jovi,https://www.youtube.com/watch?v=lDK9QqIzhwk,6a82e41cafdb4ac32fd7635c333b58711a1c9bbe15d20bf744feda4fd7ab2f0a,Bon Jovi - Livin' On A Prayer,1986 
103 ,Symphonie,Silbermond,https://www.youtube.com/watch?v=8bNHTgVhdYM,33d775ab35de153b0fedea90fef47634c4ee29b43cb5605e40965fbd2801a066,Symphonie,2004 
104 ,Weather With You,Crowded House,https://www.youtube.com/watch?v=ag8XcMG1EX4,b17fd0da8e5e41cc8366f6a71cfd7e023d09798a1e966bb40dbf5fa97a8ba8b3,Crowded House - Weather With You,1991 
105 ,Downtown,Petula Clark,https://www.youtube.com/watch?v=z_m4Qb0iW-o,41ed5e7ec922aafe38ba509caab8143a62c59b2aebb33f8d54d9b42a816d73ba,Petula Clark ~ Downtown (1964),2003 
106 ,Felicità,Al Bano And Romina Power,https://www.youtube.com/watch?v=YWu4Uz2sqlw,c7285b0c01cc40c7080330714d393ba0ecf410616847421425e1365a7c6fffa4,"Al Bano, Romina Power - Felicità (High-Quality Audio)",1982 
107 ,Ich bin nicht mehr dein Clown,Olaf Henning,https://www.youtube.com/watch?v=uFjWa1qGe0w,0aef147e9a6d417e8ee7a0dfd7c623db89ddc09b16267c5edab19217b56ccc8b,Olaf Henning- Ich bin nicht mehr dein Clown,2005 
108 ,9 to 5,Dolly Parton,https://www.youtube.com/watch?v=UbxUSsFXYo4,571ae918dbd7194b46ac4daeef9deb6c8c07f842f22071b6cac34a120f07dbb6,Dolly Parton - 9 To 5,1980 
109 ,Don't Worry Be Happy,Bobby McFerrin,https://www.youtube.com/watch?v=68vZX2uUKKA,1413763997f06fb2535fa87c4d85d8c51ff311ec30b7a9cabb25994ebb39a39a,Bobby McFerrin - Don't Worry Be Happy (Lyrics),1997 
110 ,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,https://www.youtube.com/watch?v=4ZShJG5N050,fcd29bb5c031e353bf72363372a546f15ddbb1b562823453a48825e9d29c147e,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1965 
111 ,Joy To The World,Three Dog Night,https://www.youtube.com/watch?v=EVcpKjXYa5c,8301332818f07fc5808155e388effa1a412bb48c7bf5af1bf4348ad74475a706,Joy To The World,1970 
112 ,Made You Look,Meghan Trainor,https://www.youtube.com/watch?v=xHTRpQi1GSc,61d59960b0b113a2214d63ec2377146ef7fd94abf18caef50b94655c1f69de86,Meghan Trainor - Made You Look (Lyrics),2022 
113 ,Keeping Your Head Up,Birdy,https://www.youtube.com/watch?v=m8AXUq5uA0Y,4cb1be55f441dd2010278f24caa78d6629f2cceee58b8c2c1109d4dec591ff04,Birdy - Keeping Your Head Up (Official Music Video),2016 
114 ,Liebeskummer Lohnt Sich Nicht,Siw Malmkvist,https://www.youtube.com/watch?v=ju2fedOZw_U,9f064b36b46cb9e59fe9018e9f698f969922075bfb49c1c192fea638985042bb,Siw Malmquist - Liebeskummer lohnt sich nicht 1964,1983 
115 ,Levitating,Dua Lipa,https://www.youtube.com/watch?v=WHuBW3qKm9g,d4913e72231e87ecc03db00fd9fef4a756f6e34f6c62d25fc63a447b3a31c053,Dua Lipa - Levitating (Official Lyrics Video),2020 
116 ,Beiß nicht gleich in jeden Apfel,Wencke Myhre,https://www.youtube.com/watch?v=jUWTXq_mMjU,e1a7e4ef3948f7b2ab25471b95ffbcba49b3e15e60f6ff85fb170240ba815a59,Beiß nicht gleich in jeden Apfel,1999 
117 ,Ein Stern,DJ Ötzi Nik P,https://www.youtube.com/watch?v=_JHURvbOAIw,dde7b42438620692dfb66c03238e97cc2c1b8d500b4b5da8c335c5a0b74ac26c,Ein Stern (der deinen Namen trägt),2007 
118 ,Just the Way You Are,Bruno Mars,https://www.youtube.com/watch?v=u7XjPmN-tHw,f287898eb707bb169583dfb3eaeff9cfc252ad29c5fbc8bf9905a5733bbc9443,Bruno Mars - Just The Way You Are (Lyrics),2010 
119 ,The Joker,Steve Miller Band,https://www.youtube.com/watch?v=q3mfENm6VJc,7ea81465ea1c697f8b29b7db65b9524adfcf2c6a454c3fb10319d444eddbd465,The Joker,1973 
120 ,Amarillo,Tony Christie,https://www.youtube.com/watch?v=kyohWo3aZvw,61cec614fd302e969042288ca60c3504b5dfbfe53ff661e6a094324bf4427f3c,[Is This The Way To] Amarillo,1972 
121 ,Book Of Love (feat. Polina),Felix Jaehn,https://www.youtube.com/watch?v=dr7-i9CgBmc,7cd0499171773055ae52e01866f0be8ed0e30a14856c684a3a81da696bb7cb7b,Felix Jaehn - Book of Love (ft. Polina) [Official Single],2018 
122 ,"Küss mich, Halt mich, Lieb mich",Ella Endlich,https://www.youtube.com/watch?v=RiJcWJE_o5o,8d9d48cd2ebdaf908c4afab25ecb0554abdc19a84a21ad322f673dd30fac3f93,"Ella Endlich - Küss mich, Halt mich (Drei Haselnüsse für Aschenbrödel)",2012 
123 ,Mamma Mia,ABBA,https://www.youtube.com/watch?v=U4Sm7v6PDY8,f4d3ea19b0a09383585d240e7b4ea6902544e3a634999578de3df679fa61cd4e,ABBA - Mamma Mia (Official Lyric Video),1975 
124 ,Girl on Fire,Alicia Keys,https://www.youtube.com/watch?v=p4KYRuo1C-o,18131c23ee20849b3ff714bb94a8c3140bc8b8de4eb39c45eeb79926b2636de7,Alicia Keys - Girl on Fire (Lyrics),2012 
125 ,Light My Fire,The Doors,https://www.youtube.com/watch?v=mbj1RFaoyLk,e85fe290437a975d170fff8be71d9da6d0a80683304cea816fedd5cf091a4130,The Doors - Light My Fire,1967 
126 ,Blueprint,Rainbirds,https://www.youtube.com/watch?v=DMVeh6lO2yo,1b12394e3f6eb51f12da8f24f1365a0f36e7bbfefc9730757ab2d7bb6b26d2de,Blueprint,1987 
127 ,Deutschland,Die Prinzen,https://www.youtube.com/watch?v=7T4vEiPeagM,ef8177fcd9e620d2593bb96feeeae49f42be2220a0d2185012913d444344df17,Deutschland,2001 
128 ,Don't Go Breaking My Heart,Elton John Kiki Dee,https://www.youtube.com/watch?v=DH7kBuZ5GZk,7a0b3883fa57b6f2e91ecbbb6d378d83bd31fe8c9af7f1b3af4366ae7268edfb,Don't Go Breaking My Heart (Remastered),1975 
129 ,Wer Liebe lebt,Michelle,https://www.youtube.com/watch?v=HF_nIjQOIaU,58e738383aaf6ceec478472faad76cc7dab1c245e561a54f774deccc3467ae7b,Wer Liebe lebt,2001 
130 ,We'll Be Together,Sandra,https://www.youtube.com/watch?v=_rx2CrjoKZI,a837a364a485a3394109b28dc93c8ee90a893e47cbc2c44c66ad648971dc3ad6,We'll Be Together,2016 
131 ,We Built This City,Starship,https://www.youtube.com/watch?v=IDI2WQJyE7I,ac71c48acf4e59b7817463318586ecea8aab8cda2f2116f8385153ed7e4c8aa2,Starship - We Built This City (Official Music Video),1985 
132 ,Chasing Cars,Snow Patrol,https://www.youtube.com/watch?v=GemKqzILV4w,1529b8f1e03479c9ad605d9d286b41f0290e0eacb54924d7e8461aecf9c3bef6,Snow Patrol - Chasing Cars (Official Video),2006 
133 ,First Day of My Life,Melanie C,https://www.youtube.com/watch?v=W9n5AkJU-so,08ceca1208a2af8fd06e9097bb330fbce586af077bdd7103201c2fa41b43f02e,Melanie C - First Day Of My Life (Music Video) (HQ),2005 
134 ,Losing My Religion,R.E.M.,https://www.youtube.com/watch?v=OKvCV8MFIaw,a715833712debd165fbfeae82ba9503b09be22f5b928e34515e3d06c8631acf6,R.E.M. - Losing My Religion Lyrics,1991 
135 ,Go West,Pet Shop Boys,https://www.youtube.com/watch?v=LNBjMRvOB5M,80b85e22a7174fb800003400fdab84f810c02ab185da17231a598af188489c25,Pet Shop Boys - Go West (Official Video) [HD REMASTERED],2020 
136 ,Everybody,Backstreet Boys,https://www.youtube.com/watch?v=e-syzbglE6g,cbc7a4b75ffa29b129c5d8fd1c30156e20610f03ce8f9d88f46f6f15c179af56,Backstreet Boys - Everybody (Backstreet's Back) (Lyrics),1997 
137 ,Flugzeuge im Bauch,Herbert Grönemeyer,https://www.youtube.com/watch?v=0CzNP8nLo8g,e9a72dad87f2b22cf37b8d2c07eedae90e518044a9147fbcfe4d1163a37eb310,Flugzeuge im Bauch (Remastered 2016),2008 
138 ,I Ain't Worried,OneRepublic,https://www.youtube.com/watch?v=42oK5vjD2UU,f2bedecc660a9051bedd64fe8588118bdf45f5d659cf8a0e86109edf336c5c50,OneRepublic - I Ain't Worried (Lyrics),2022 
139 ,Everybody's Free (To Feel Good),Rozalla,https://www.youtube.com/watch?v=95_dAQHui94,74c07a2fe8c63104aeb49981d641241c7066ca00aa88b126fb78f4d9629d8e23,Rozalla - Everybody's Free (To Feel Good) [Official HD Music Video],2000 
140 ,Brother Louie,Modern Talking,https://www.youtube.com/watch?v=SSkDfGa9Bnw,9f098ab256e7e07e7248b97803c62940400a63c851e5c969016406e38c386066,Brother Louie (Remastered),1986 
141 ,Can't Get You out of My Head,Kylie Minogue,https://www.youtube.com/watch?v=c18441Eh_WE,04037b60ecd2589a26982b2606935dbb85fbf00820cb6ae595679fb30eb310b7,Kylie Minogue - Can't Get You Out Of My Head (Official Video),2001 
142 ,Wenn das Liebe ist,GLASHAUS Moses Pelham,https://www.youtube.com/watch?v=QH0Kf-7aZlw,88cd165be11ac29ec822e362c484666d9a623c958e3ec2bc3c9ef9ded97fa967,Wenn das Liebe ist (Director's Cut),2006 
143 ,Radio,The Corrs,https://www.youtube.com/watch?v=js-Wg53U-3k,058fcd54575408e08a6ee7874d71c901cfcb1b281381e3f21834d6c682c75faf,Radio,1999 
144 ,Hit the Road Jack,Ray Charles,https://www.youtube.com/watch?v=SrnWp5O0DEs,5a43bf41828333ecd2e3585fb34bcc3d0a3a2ec269813aa5f0b20790430b8491,Hit the Road Jack,2021 
145 ,She's Got That Light,Orange Blue,https://www.youtube.com/watch?v=HnZPif5CQ-w,cb83a6aa33c6da2b71c4a6a2c39ffa80dce48456b389010146b53e33db4ebbd4,ORANGE BLUE - She's Got That Light [Official Video],2000 
146 ,Zucker im Kaffee,Erik Silvester,https://www.youtube.com/watch?v=WU8Tt__LRnY,4276207c2800c0c29ff84e6c7ed9956c2131b034a728195ab8e16c080014f476,Erik Silvester - Zucker im Kaffee,2010 
147 ,Dancing In The Street,Martha Reeves & The Vandellas,https://www.youtube.com/watch?v=68Uv959QuCg,f64e0b34ff28b536afb8512075e9ba958d7fa09f36738b28ac3eff5434ec5131,MARTHA and THE VANDELLAS - Dancing In The Street (1964) (Remastered),1965 
148 ,As It Was,Harry Styles,https://www.youtube.com/watch?v=Qfm6nfz1QNQ,844ec8b6f264f64c8390bfab1790163b97f837c11760c88e25f3e65b047fcb75,Harry Styles - As It Was (Lyrics),2022 
149 ,(It Goes Like) Nanana,Peggy Gou,https://www.youtube.com/watch?v=KnBdf559ofQ,8419469dead14ac9fcc3ad195d3705805abe2d697e906eb80d8188ef9db8a0be,Peggy Gou - (It Goes Like) Nanana,2023 
150 ,Chandelier,Sia,https://www.youtube.com/watch?v=t98GDWrVoVM,49673a187a781f7ae41362bf8676e3f1059b142c0320f1c59b0bad80118da31c,Sia - Chandelier (Lyrics),2014 
151 ,Echame La Culpa,Luis Fonsi Demi Lovato,https://www.youtube.com/watch?v=sKJwRscRWr4,8382e889337c0dbdf94c51a88792c450ed7058b862802129aaa3e36d5b3061d0,"Luis Fonsi, Demi Lovato ‒ Echame La Culpa (Lyrics)",2019 
152 ,Complicated,Avril Lavigne,https://www.youtube.com/watch?v=5eGbnVlRcRg,827610f3b947aaf4c17a73041ae25a35e4ace46872931f3b838fd4936de86be7,Avril Lavigne - Complicated (Lyrics),2002 
153 ,Just More,Wonderwall,https://www.youtube.com/watch?v=qcuKd0Rog8I,aacf05b57f63a55ae0007c10df6bd5b0c7abfde15f64fff4d56bb2b4f3fbbca0,Just More (Single Edition),2002 
154 ,Pan,Costa Cordalis,https://www.youtube.com/watch?v=B4KM-KwFzmE,0994e67516350d3ef7538f2308e20685c35355272df4d1f7e30d0de141e63244,Costa Cordalis - Pan (deutsch gesungen),1992 
155 ,You Drive Me Crazy,Shakin' Stevens,https://www.youtube.com/watch?v=OFZH1ZqrRS0,ceb433c0f166faa1db23706ff3340c612c30f8662ffa439cfaef8c0e6cb99c32,Shakin' Stevens - You Drive Me Crazy (Official HD Video),1981 
156 ,Dynamite,BTS,https://www.youtube.com/watch?v=Mzk6KkyxXC8,bae7592edcbf1a02fa8c1e647881adfe581dff2a944973f01b8bde2ac264ef19,BTS - Dynamite (Lyrics),2020 
157 ,Out Of The Dark,Falco,https://www.youtube.com/watch?v=Xs-BMEw_cRY,6f291c1e2054ce8b9591f91761192df3fb8a3d328e08e124a89726860fdefb9d,Out Of The Dark (Remastered 2012),1998 
158 ,From a Distance,Bette Midler,https://www.youtube.com/watch?v=crSP0epi2y4,b1df39c6fff76e6006defde78d3573b46bd1140423f41282824be47982a0b439,From a Distance (2008 Remaster),1990 
159 ,Give A Little Bit,Supertramp,https://www.youtube.com/watch?v=0dJ30dREjaE,381179e509f7cb0f1b6a992a8a8018cb2f7fbcd9035beebcd9c24e37fad5264d,Give A Little Bit,1977 
160 ,That's the Way (I Like It),KC & The Sunshine Band,https://www.youtube.com/watch?v=2UB8P0UImzw,cb928f23a0ef5022c73feff81ba2ae76509fe877acaefd3df8620c0b7689f4a1,That's the Way (I Like It),1975 
161 ,Rivers of Babylon,Boney M,https://www.youtube.com/watch?v=eN3Fmpnoado,1a80ca8b9e8d76c7719f7cb9a65b6af9bc1afda268f2a831a10c70555ef8eb2e,Rivers of Babylon,1978 
162 ,Billie Jean,Michael Jackson,https://www.youtube.com/watch?v=DKFS2tDsZRY,7d1ca2a4cf95ae48ed1c61c230ddb0c2892897e8d3a69f44355cfaf34a9553d8,Michael Jackson - Billie Jean (Lyrics),2008 
163 ,La Bamba,Los Lobos,https://www.youtube.com/watch?v=oxPWVX-qSrQ,b8883e4d2986e719314e7d103c34c8c7bf19956e7895e7a0ac97900ef3bfbe43,Los Lobos & Gipsy Kings - La Bamba (With Lyrics),1987 
164 ,Ba-Ba Banküberfall,EAV (Erste Allgemeine Verunsicherung),https://www.youtube.com/watch?v=a-mSrmyTjrs,729ac2270896a68cb1cbb0540c26cbed8236b9a62efc8138d85d9c14675e539d,Ba Ba banküberfall Erste Allgemeine Verunsicherung,1985 
165 ,The Way to Your Heart,Soulsister,https://www.youtube.com/watch?v=-rzpX12fJy0,8217dca3acdfd0b3388c12edde7f940a83529f199ad6a13959e5063bd1bbf588,Soulsister - The Way to Your Heart (Official Audio),1997 
166 ,Song Sung Blue,Neil Diamond,https://www.youtube.com/watch?v=ighSddnnaPE,69bce667181c79811b7a8de43052a45f4601d8ff5c143294491f88d90f896ea3,Neil Diamond - Song Song Blue (Stereo!),2014 
167 ,Baby,Justin Bieber Ludacris,https://www.youtube.com/watch?v=j8n1pj8RfFs,ca65087cfc48b75a9d067eb1c22a6065f5174952020434d391e1873437ed326c,Justin Bieber - Baby ft. Ludacris,2010 
168 ,I'm Too Sexy,Right Said Fred,https://www.youtube.com/watch?v=hC_TDJGs1eY,12a07c566aeeb1e8c2b10883b4e9cd279191606afec63690df78eb1de75db6f2,Right said Fred - I'm too sexy [HD],1992 
169 ,Here I Go Again,Bnd,https://www.youtube.com/watch?v=Qlv3yFMFS4w,3b61c4af057c7eb2bf47602aa7daea3a37ab610b406d7f7465af68ae6aaec1ab,BND - Here I Go Again,2006 
170 ,Budapest,George Ezra,https://www.youtube.com/watch?v=4YCkAVokE84,a14d38273f8a9d05c9764386da74e295e35b80037d1ab7bd17b824e75fd9d74c,George Ezra - Budapest (Lyrics),2014 
171 ,Hello,Martin Solveig Dragonette,https://www.youtube.com/watch?v=WmH4iWoJfTo,6eab8cbc882a62dff1437e7a959706bc57162992caded9eafcf44b7435147762,Hello (Martin Solveig & Dragonette),2011 
172 ,Freiheit,Westernhagen,https://www.youtube.com/watch?v=0ohpSRdenhQ,df14bd7b17d92acb6cf6186d386ca5c6f09ace5d082cb95b4c925950ced407a2,Freiheit,1990 
173 ,Xanadu,Olivia Newton-John,https://www.youtube.com/watch?v=mX8Y_LUxIJo,b2b64a47afefc7ae14b7b7d97cfa16b204e7bb9d6671c2f69e1b5d3bcff2a2cf,Xanadu,1980 
174 ,Video Games,Lana Del Rey,https://www.youtube.com/watch?v=cE6wxDqdOV0,04017ffaab151ca44c9ab85f8ec250dcad38a0d9ff425fd32f0def9a9cbb326a,Lana Del Rey - Video Games,2012 
175 ,Kiss You All Over,Exile,https://www.youtube.com/watch?v=Wnzc5FlnFPw,9f7f97a5372bd6dac8c17a7bd39c993041cea669f5ded4fbc2ebcd7be10ea783,Exile - Kiss You All Over (1978) 4K,1978 
176 ,Im Wagen vor mir,Henry Valentino Uschi,https://www.youtube.com/watch?v=fjc3uwYCdmM,6e0d60b1ead54d436d14972e6a90f3ad7d35c4b1cf905bd01abb141b9dc0d2a9,"Henry Valentino - ""Im Wagen vor mir"" - das offizielle Video",2009 
177 ,We Are The People (feat. Bono & The Edge),Martin Garrix Bono The Edge,https://www.youtube.com/watch?v=kGT73GcwhCU,ecbbc85b8446055408b9fa550da2c38c1c0a162bef13fea477908ea21d81140e,Martin Garrix feat. Bono & The Edge - We Are The People [UEFA EURO 2020 Song] (Official Video),2021 
178 ,Baby One More Time,Britney Spears,https://www.youtube.com/watch?v=kAJz7c97Cyo,16b3eecac831b6e47ebf483b46cf135545a1045340def43aba369800b7a75255,Britney Spears - Baby One More Time (Lyrics),1999 
179 ,You're Beautiful,James Blunt,https://www.youtube.com/watch?v=M_q82PPHduI,3dcfa5263dc4521ea9521e5c5f1d81cde9a6747022b76a564acda0615c688869,James Blunt - You're Beautiful (Lyrics),2005 
180 ,Superheroes,The Script,https://www.youtube.com/watch?v=0y7ygEDRpSo,1932ff5f50d92fe0c7a6817e874ad4fa72c8d18fbed62e4f39f6af7afd5c5c89,The Script - Superheroes (Audio),2021 
181 ,We Are Young (feat. Janelle Monae),Janelle Monae,https://www.youtube.com/watch?v=eOqMC1Qr9ME,e26c7297ac00ebf6cab65bd453363670f71167aa8341433d1caa3ee4a6ad88c6,fun. - We Are Young (feat. Janelle Monáe) [Radio Edit],2012 
182 ,Jojo Action,Mr. President,https://www.youtube.com/watch?v=5aKXeGNUSJs,aee06ff1537160ea911262926b6af6049c887c4cb0bc1a802c4019808bb2db49,JoJo Action,1997 
183 ,Ayo Technology,Milow,https://www.youtube.com/watch?v=tLNY0FRJLdM,f4716e2b3538d403b11faebb213ecd5eb50657ae56a4e6008000d49970577c3a,Milow - Ayo Technology,2012 
184 ,Shut Up and Dance,WALK THE MOON,https://www.youtube.com/watch?v=_glQsoPesQo,131618241664d8b0efdcedd57cae5eec298d1c3cb011e8a9dde84665fd1032da,Walk The Moon - Shut Up And Dance (Lyrics),2014 
185 ,Achy Breaky Heart,Billy Ray Cyrus,https://www.youtube.com/watch?v=QOn24oRtJMQ,9379fd4939420fa1482c5d3c7ed5707d5b0c07a47a59a29d8eb83c0b67003ffd,Billy Ray Cyrus - Achy Breaky Heart | Lyrics,1992 
186 ,Ein Herz kann man nicht reparieren,Udo Lindenberg,https://www.youtube.com/watch?v=DZgTN-yjVyg,335f716b608068572375731265c5eef14d00e7284304e480005633b5c8d803df,Ein Herz kann man nicht reparieren,1991 
187 ,Bleeding Love,Leona Lewis,https://www.youtube.com/watch?v=3SttVoJ_8N8,093df9dd94f9acf8bccc02c4e1353d005e2d09e117ac8a2f312803dec993d6b1,Leona Lewis - Bleeding Love (Lyrics),2007 
188 ,Soak Up The Sun,Sheryl Crow,https://www.youtube.com/watch?v=Ji0NHUaoefU,8bf0929704f3c97a93c13e82ae67ac08f60092861e3c2001200bc13b7c778898,Sheryl Crow - Soak Up The Sun (Lyrics),2002 
189 ,Mandy,Barry Manilow,https://www.youtube.com/watch?v=5FOAd1mbtiM,c584dc1738f45392bd0fd2ccd5678aa3b7401a5c416080e57b00acf8ca40cd95,Mandy,1974 
190 ,Ich bin verliebt in die Liebe,Chris Roberts,https://www.youtube.com/watch?v=8SG_WIH_nXo,eea6828a52a41eef31f86f00f2ccdee3bc27cad4bf858ea77e4d866b9bf12632,Chris Roberts - Ich Bin Verliebt In Die Liebe,1971 
191 ,Un-Break My Heart,Toni Braxton,https://www.youtube.com/watch?v=JtBnAVrOrZM,cfe21a63fe1fa8940c10af0dfb78c95b308a59308ac7695ce9ec1e7ca589b9ca,Un-Break My Heart - Toni Braxton (Lyrics) 🎵,1996 
192 ,Die Da!?!,Die Fantastischen Vier,https://www.youtube.com/watch?v=VUosAGDM8Sg,bdb129fab18c89b91576f28eba5702648f78aaaa1d339d3d0e0b81cb6cbf313b,Die Fantastischen Vier - Die Da!?! (Offizielles Musikvideo),2009 
193 ,Story of My Life,One Direction,https://www.youtube.com/watch?v=R2HLAqsElO0,93b11e850018fcaf26727c202ee616db2d1f43ebc06b887efec0ef8fd39508a8,One Direction - Story of My Life (Lyrics),2013 
194 ,Rockabye,Clean Bandit Sean Paul Anne-Marie,https://www.youtube.com/watch?v=0GAwZ28OZpY,b9b914a42f6781f7f6018430c5fcd75e9fe29163adfdec2b1ecf003591ce2a33,Rockabye - Clean Bandit ft. Sean Paul & Anne-Marie (Lyrics/Vietsub),2018 
195 ,Hips Don't Lie (feat. Wyclef Jean),Shakira Wyclef Jean,https://www.youtube.com/watch?v=fNRXD393cfs,ea0be694a09293b697db9b09885301b6b1030b9c6152ceae36bf0e978dba2069,Shakira - Hips Don't Lie (Lyrics) ft. Wyclef Jean,2005 
196 ,Drive By,Train,https://www.youtube.com/watch?v=YCAxfhex0ww,026b2bb3df443fc5f393c4ea978bf952e80a46e26e2d8e9aeb61c1602382f22b,Drive By - Train (Lyrics) 🎵,2012 
197 ,Free Like the Wind,Alexander Klaws,https://www.youtube.com/watch?v=_XOkwxkg-ho,64e1d165615fbfbe522473e3199558b38c388bbae35f05eea3671a169d6e1b3f,Free Like The Wind,2004 
198 ,King,Years and Years,https://www.youtube.com/watch?v=nvH8Ary1TS0,d480cc432e9bcbc9e5523d4652b25a82071a3c561572e978c2a03b1e382e43c7,Years & Years - King (Lyrics),2015 
199 ,Verliebte Jungs,Purple Schulz,https://www.youtube.com/watch?v=6alEBnBGdOo,39b186bd2dad582d975aeac87a5b95a44da849cd65e71b46f385636af7ef5540,Verliebte Jungs,1985 
200 ,Monday Monday,The Mamas and The Papas,https://www.youtube.com/watch?v=36VGaN996UY,abdbffc2488bb5ec60289a5e4c93b84895fee72ad345632ad4c377453d7b5500,"Monday, Monday",1966 
201 ,Bronze Silber und Gold,Wolfgang Petry,https://www.youtube.com/watch?v=39_92IKkYbM,154ea312f2568473c9c334875794f3a8ee8c9813ae2605d0c18b78183a17e8c1,"Wolfgang Petry - Bronze, Silber und Gold",1995 
202 ,Walk Like an Egyptian,The Bangles,https://www.youtube.com/watch?v=cFGCu5hnLyA,3d70147f01d007fa8059675dd70c82f4d13c836baf93ae0c4be296b9983c6b7f,Walk Like an Egyptian,2004 
203 ,It Ain't Me (with Selena Gomez),Kygo Selena Gomez,https://www.youtube.com/watch?v=xZbWaHDA7Po,e0a47accff75c1520db436103885fed75aca9003edd8264ea1e61455f05c32ce,Kygo - It Ain't Me (Lyrics) (with Selena Gomez),2017 
